Station_ID,Name_EN,Name_JP,Latitude,Longitude
1111632,Nishi-Kitami Station,西北見駅（にしきたみ）,43.8032800,143.8420757
1161702,Nishi-Kizu Station,西木津駅（にしきづ）,34.7377626,135.8034656
9991117,Nishi-Koba Station,西木場駅（にしこば）,33.3556870,129.6382048
1192911,Nishi-Kobayashi Station,西小林駅（にしこばやし）,32.0093980,130.9222060
2101207,Nishi-Koizumi Station,西小泉駅（にしこいずみ）,36.2585422,139.4084842
1130503,Nishi-Kokubunji Station,西国分寺駅（にしこくぶんじ）,35.6997400,139.4660796
1190206,Nishi-Kokura Station,西小倉駅（にしこくら）,33.8884951,130.8738821
2600204,Nishi-Koyama Station,西小山駅（にしこやま）,35.6154993,139.6986894
1150211,Nishi-Kozakai Station,西小坂井駅（にしこざかい）,34.7969172,137.3530258
1190351,Nishi-Kumamoto Station,西熊本,32.7625568,130.6829608
1130324,Nishi-Kunitachi Station,西国立駅（にしくにたち）,35.6932804,139.4241055
1163309,Nishi-Kurisu Station,西栗栖駅（にしくりす）,34.9525751,134.4704831
9990902,Nishi-Kurosaki Station,西黒崎駅（にしくろさき）,33.8664110,130.7624280
9980309,Nishi-Maeda Station,西前田駅（にしまえだ）,34.2959520,134.1047230
9963714,Nishi-Maiko Station,西舞子駅（にしまいこ）,34.6388415,135.0278582
1162208,Nishi-Maizuru Station,西舞鶴駅（にしまいづる）,35.4420573,135.3304788
1133707,Nishi-Matsuida Station,西松井田駅（にしまついだ）,36.3162627,138.7863809
9940702,Nishi-Matsumoto Station,西松本駅（にしまつもと）,36.2270375,137.9632016
1111639,Nishi-Memambetsu Station,西女満別駅（にしめまんべつ）,43.8802380,144.1486350
1190740,Nishi-Miyakonojō Station,西都城駅（にしみやこのじょう）,31.7235289,131.0571132
1171427,Nishi-Miyoshi Station,西三次駅（にしみよし）,34.7981812,132.8404003
1111405,Nishi-Mizuho Station,西瑞穂駅（にしみずほ）,43.7022708,142.3821499
3400309,Nishi-Mukō Station,西向日駅（にしむこう）,34.9405080,135.7032441
9940814,Nishi-Namerikawa Station,西滑川駅（にしなめりかわ）,36.7551540,137.3347840
1131931,Nishi-Nasuno Station,西那須野駅（にしなすの）,36.8841196,139.9865846
1130217,Nishi-Nippori Station,西日暮里駅（にしにっぽり）,35.7322969,139.7668282
2300407,Nishi-Nobuto Station,西登戸駅（にしのぶと）,35.6176018,140.1027335
9952814,Nishi-Nojiri Station,西野尻駅（にしのじり）,35.1639482,136.4882488
1140509,Nishi-Nyūzen Station,西入善駅（にしにゅうぜん）,36.9301719,137.4591923
1110707,Nishi-Obihiro Station,西帯広駅（にしおびひろ）,42.9240366,143.1275351
1192006,Nishi-Ōchi Station,西相知駅（にしおうち）,33.3474770,129.9904520
3100417,Nishi-Ōgaki Station,西大垣駅（にしおおがき）,35.3603877,136.6032769
9981413,Nishi-Ōgata Station,西大方駅（にしおおがた）,33.0089120,132.9869670
1131218,Nishi-Ogikubo Station,西荻窪駅（にしおぎくぼ）,35.7038061,139.5994511
9930802,Nishi-Ōhara Station,西大原駅（にしおおはら）,35.2605170,140.3780776
1130804,Nishi-Ōi Station,西大井駅（にしおおい）,35.6018658,139.7216714
1190642,Nishi-Ōita Station,西大分駅（にしおおいた）,33.2452527,131.5827415
1150220,Nishi-Okazaki Station,西岡崎駅（にしおかざき）,34.9467191,137.1226613
1132211,Nishi-Ōmiya Station,西大宮駅（にしおおみや）,35.9223669,139.5799540
1122108,Nishi-Ōsaki Station,西大崎駅（にしおおさき）,38.6303048,140.8896365
1140717,Nishi-Ōtaki Station,西大滝駅（にしおおたき）,36.9792240,138.4808230
3100603,Nishi-Ōte Station,西大手駅（にしおおて）,34.7668440,136.1237329
9921106,Nishi-Otsuka Station,西大塚,38.0554210,140.0645830
2100703,Nishi-Ōya Station,西大家駅（にしおおや）,35.9316608,139.3562818
1193021,Nishi-Ōyama Station,西大山駅（にしおおやま）,31.1903080,130.5768280
1180727,Nishi-Ōzu Station,西大洲駅（にしおおず）,33.5082033,132.5270083
